valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
410.bwaves,13590,281.425961,48.289788,0,S,,,,,,"ref iteration #1"
410.bwaves,13590,281.815094,48.223109,1,S,,,,,,"ref iteration #2"
410.bwaves,13590,282.711533,48.0702,0,S,,,,,,"ref iteration #3"
416.gamess,19580,129.227423,151.515828,0,VE,,,,,,"ref iteration #1"
416.gamess,19580,130.016325,150.596473,0,VE,,,,,,"ref iteration #2"
416.gamess,19580,129.397692,151.316455,0,VE,,,,,,"ref iteration #3"
433.milc,9180,433.254103,21.188489,0,S,,,,,,"ref iteration #1"
433.milc,9180,437.013811,21.006201,0,S,,,,,,"ref iteration #2"
433.milc,9180,435.423892,21.082904,1,S,,,,,,"ref iteration #3"
434.zeusmp,9100,283.396805,32.110454,0,S,,,,,,"ref iteration #1"
434.zeusmp,9100,278.69379,32.652324,1,S,,,,,,"ref iteration #2"
434.zeusmp,9100,277.693584,32.769932,0,S,,,,,,"ref iteration #3"
435.gromacs,7140,214.537959,33.280824,1,S,,,,,,"ref iteration #1"
435.gromacs,7140,212.274524,33.63569,0,S,,,,,,"ref iteration #2"
435.gromacs,7140,215.608572,33.115566,0,S,,,,,,"ref iteration #3"
436.cactusADM,11950,396.58965,30.131901,0,S,,,,,,"ref iteration #1"
436.cactusADM,11950,388.467948,30.761869,0,S,,,,,,"ref iteration #2"
436.cactusADM,11950,390.406621,30.609112,1,S,,,,,,"ref iteration #3"
437.leslie3d,9400,203.432633,46.206943,0,S,,,,,,"ref iteration #1"
437.leslie3d,9400,204.501759,45.965375,1,S,,,,,,"ref iteration #2"
437.leslie3d,9400,206.867617,45.439688,0,S,,,,,,"ref iteration #3"
444.namd,8020,272.372822,29.444935,0,S,,,,,,"ref iteration #1"
444.namd,8020,271.684972,29.519483,0,S,,,,,,"ref iteration #2"
444.namd,8020,272.189249,29.464793,1,S,,,,,,"ref iteration #3"
447.dealII,11440,--,--,0,CE,,,,,,"ref iteration #1"
447.dealII,,,,,,,,,,,"ref iteration #2"
447.dealII,,,,,,,,,,,"ref iteration #3"
450.soplex,8340,--,--,0,CE,,,,,,"ref iteration #1"
450.soplex,,,,,,,,,,,"ref iteration #2"
450.soplex,,,,,,,,,,,"ref iteration #3"
453.povray,5320,102.434572,51.935591,1,S,,,,,,"ref iteration #1"
453.povray,5320,102.703172,51.799763,0,S,,,,,,"ref iteration #2"
453.povray,5320,102.216084,52.046604,0,S,,,,,,"ref iteration #3"
454.calculix,8250,588.283964,14.02384,0,S,,,,,,"ref iteration #1"
454.calculix,8250,589.556591,13.993568,1,S,,,,,,"ref iteration #2"
454.calculix,8250,590.020974,13.982554,0,S,,,,,,"ref iteration #3"
459.GemsFDTD,10610,304.992474,34.787744,1,S,,,,,,"ref iteration #1"
459.GemsFDTD,10610,304.860654,34.802786,0,S,,,,,,"ref iteration #2"
459.GemsFDTD,10610,306.008111,34.672284,0,S,,,,,,"ref iteration #3"
465.tonto,9840,318.230614,30.920972,0,S,,,,,,"ref iteration #1"
465.tonto,9840,317.990361,30.944334,1,S,,,,,,"ref iteration #2"
465.tonto,9840,317.849796,30.958019,0,S,,,,,,"ref iteration #3"
470.lbm,13740,274.431376,50.067161,0,S,,,,,,"ref iteration #1"
