valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
410.bwaves,13590,283.356635,47.960762,1,S,,,,,,"ref iteration #1"
410.bwaves,13590,285.269965,47.639085,0,S,,,,,,"ref iteration #2"
410.bwaves,13590,281.182208,48.33165,0,S,,,,,,"ref iteration #3"
416.gamess,19580,129.642945,151.030201,0,VE,,,,,,"ref iteration #1"
416.gamess,19580,130.018857,150.59354,0,VE,,,,,,"ref iteration #2"
416.gamess,19580,128.671159,152.170853,0,VE,,,,,,"ref iteration #3"
433.milc,9180,437.692167,20.973645,1,S,,,,,,"ref iteration #1"
433.milc,9180,439.028857,20.909787,0,S,,,,,,"ref iteration #2"
433.milc,9180,437.505913,20.982574,0,S,,,,,,"ref iteration #3"
434.zeusmp,9100,283.879313,32.055876,0,S,,,,,,"ref iteration #1"
434.zeusmp,9100,282.098401,32.258247,1,S,,,,,,"ref iteration #2"
434.zeusmp,9100,279.562299,32.550884,0,S,,,,,,"ref iteration #3"
435.gromacs,7140,212.769104,33.557504,0,S,,,,,,"ref iteration #1"
435.gromacs,7140,212.002682,33.678819,1,S,,,,,,"ref iteration #2"
435.gromacs,7140,210.927267,33.850531,0,S,,,,,,"ref iteration #3"
436.cactusADM,11950,386.320202,30.932889,1,S,,,,,,"ref iteration #1"
436.cactusADM,11950,384.627076,31.069056,0,S,,,,,,"ref iteration #2"
436.cactusADM,11950,390.171727,30.62754,0,S,,,,,,"ref iteration #3"
437.leslie3d,9400,207.039305,45.402007,0,S,,,,,,"ref iteration #1"
437.leslie3d,9400,203.383795,46.218038,0,S,,,,,,"ref iteration #2"
437.leslie3d,9400,205.574864,45.725435,1,S,,,,,,"ref iteration #3"
444.namd,8020,270.797396,29.616238,0,S,,,,,,"ref iteration #1"
444.namd,8020,270.306053,29.670072,0,S,,,,,,"ref iteration #2"
444.namd,8020,270.732636,29.623322,1,S,,,,,,"ref iteration #3"
447.dealII,11440,--,--,0,CE,,,,,,"ref iteration #1"
447.dealII,,,,,,,,,,,"ref iteration #2"
447.dealII,,,,,,,,,,,"ref iteration #3"
450.soplex,8340,--,--,0,CE,,,,,,"ref iteration #1"
450.soplex,,,,,,,,,,,"ref iteration #2"
450.soplex,,,,,,,,,,,"ref iteration #3"
453.povray,5320,103.280555,51.51018,1,S,,,,,,"ref iteration #1"
453.povray,5320,103.74004,51.282032,0,S,,,,,,"ref iteration #2"
453.povray,5320,101.701846,52.309768,0,S,,,,,,"ref iteration #3"
454.calculix,8250,594.505742,13.877074,0,S,,,,,,"ref iteration #1"
454.calculix,8250,590.013114,13.98274,1,S,,,,,,"ref iteration #2"
454.calculix,8250,585.536331,14.089647,0,S,,,,,,"ref iteration #3"
459.GemsFDTD,10610,310.72666,34.145767,0,S,,,,,,"ref iteration #1"
459.GemsFDTD,10610,305.587936,34.719957,0,S,,,,,,"ref iteration #2"
459.GemsFDTD,10610,307.752973,34.475703,1,S,,,,,,"ref iteration #3"
465.tonto,9840,318.630332,30.882182,0,S,,,,,,"ref iteration #1"
465.tonto,9840,317.589585,30.983384,1,S,,,,,,"ref iteration #2"
465.tonto,9840,315.662601,31.172524,0,S,,,,,,"ref iteration #3"
470.lbm,13740,271.861216,50.540493,1,S,,,,,,"ref iteration #1"
470.lbm,13740,273.439714,50.248736,0,S,,,,,,"ref iteration #2"
470.lbm,13740,270.559087,50.783731,0,S,,,,,,"ref iteration #3"
481.wrf,11170,261.203067,42.763663,0,S,,,,,,"ref iteration #1"
481.wrf,11170,257.256444,43.419709,0,S,,,,,,"ref iteration #2"
481.wrf,11170,259.541558,43.037424,1,S,,,,,,"ref iteration #3"
482.sphinx3,19490,395.918226,49.227337,1,S,,,,,,"ref iteration #1"
482.sphinx3,19490,396.62311,49.13985,0,S,,,,,,"ref iteration #2"
482.sphinx3,19490,390.383294,49.925292,0,S,,,,,,"ref iteration #3"

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
410.bwaves,13590,283.356635,47.960762,1,S,,,,,NR,"SelectedIteration (base #1)"
416.gamess,,,,,NR,,,,,NR
433.milc,9180,437.692167,20.973645,1,S,,,,,NR,"SelectedIteration (base #1)"
434.zeusmp,9100,282.098401,32.258247,1,S,,,,,NR,"SelectedIteration (base #2)"
435.gromacs,7140,212.002682,33.678819,1,S,,,,,NR,"SelectedIteration (base #2)"
436.cactusADM,11950,386.320202,30.932889,1,S,,,,,NR,"SelectedIteration (base #1)"
437.leslie3d,9400,205.574864,45.725435,1,S,,,,,NR,"SelectedIteration (base #3)"
444.namd,8020,270.732636,29.623322,1,S,,,,,NR,"SelectedIteration (base #3)"
447.dealII,,,,,NR,,,,,NR
450.soplex,,,,,NR,,,,,NR
453.povray,5320,103.280555,51.51018,1,S,,,,,NR,"SelectedIteration (base #1)"
454.calculix,8250,590.013114,13.98274,1,S,,,,,NR,"SelectedIteration (base #2)"
459.GemsFDTD,10610,307.752973,34.475703,1,S,,,,,NR,"SelectedIteration (base #3)"
465.tonto,9840,317.589585,30.983384,1,S,,,,,NR,"SelectedIteration (base #2)"
470.lbm,13740,271.861216,50.540493,1,S,,,,,NR,"SelectedIteration (base #1)"
481.wrf,11170,259.541558,43.037424,1,S,,,,,NR,"SelectedIteration (base #3)"
482.sphinx3,19490,395.918226,49.227337,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECfp_base2006,--,,--
SPECfp2006,"Not Run",,,,,,,"Not Run"

"Run number:",013

"Hardware Vendor:","System Vendor"
"Hardware Model:","System Model Name"
"Date tested:",Nov-2021
"CPU2006 License:",0
"Test sponsor:","Test Sponsor (Optional, defaults to hw_vendor)"
"Tested by:","(Optional, defaults to hw_vendor)"
"Hardware avail:",Dec-9999
"Software avail:",May-2010


HARDWARE

"CPU Name","Intel Xeon Gold 6230"
"CPU Characteristics"," "
"CPU MHz",9999
FPU,Integrated
"CPU(s) enabled","number of cores enabled cores, 2 chips, number of cores manufactured into each chip cores/chip, number of threads enabled per core threads/core"
"CPU(s) orderable","1,2 chips"
"Primary Cache","9999 KB I + 9999 KB D on chip per core"
"Secondary Cache","9999 KB I+D on chip per core"
"L3 Cache","9999 MB I+D on chip per chip"
"Other Cache",None
Memory,"251.362 GB fixme: If using DDR3, format is:"
,"'N GB (M x N GB nRxn PCn-nnnnnR-n, ECC)'"
